"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
ACT-COPPY,-3074198 -449287,,544451 6985590,,4594070,10385660,18488792 58388185,,80776,450482,11932450,-653386,107673585
BUD PROP,66301830 124828183,,45264220 122290882,,65830677 124993493 321431775 207360850,,,,64189322,55632612,62305813,37457644,1297887301
ACT-BP,-4864408 -912305,,-1604847 10510173,,3025610,10954382 -28603899,72292039,,696857,-1257377,14117042,-1269180,73084087
"",,,,,,,SMH,,,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,,,
"",01,02,03,04,05,06,07,08,09,10,10N,,11,,TOTAL
BG,53815799,79161610,20778371,43315452,39878180,70159517 107937920,,374801,23191613,32447468,,..,..,,471060731
BG(SL),53637430,79120677,20728551,43284433,39840589,70114080 107815433,,374801,23172085,32272652,,..,..,,470360731
ACT,34278598,51999069,13297023,28737557,26499885,47359746,68950671,225654,14280266,19548177,,..,..,,305176646
01 -,,,,,,,,,,,,,,,
COPPY,39321010,58126491,15208207,32334433,29357737,52913990,78452529,274285,17070203,22967620,,..,1143,,346027648
Sal/Wag,,,,,,,,,,,,,,,
ACT-COPPY,-5042413,-6127422,-1911184,-3596876,-2857851,-5554243,-9501859,-48631,-2789937,-3419443,,..,-1143,,-40851002
BUD PROP,38187160,56723680,14775390,30809045,29101759,50638277,76593776,260910,16603313,22524496,,..,..,,336217806
ACT-BP,-3908562,-4724611,-1478367,-2071488,-2601874,-3278531,-7643105,-35256,-2323047,-2976319,,..,..,,-31041160
BG,20712594,30468588,8019709,16701868,15371301,33506910,43701868,145641,8909182,12470999,,..,..,,190008660
BG(SL),18439819,26898860,7118902,14840603,13835610,29009022,38370202,126805,8040418,11014398,,..,..,,167694639
ACT,12743203,19104090,4925838,10617603,9834879,21505933,27143278,80192,5233872,6987183,,..,..,,118176070
02 - DA COPPY,10287992,15133450,3980737,8413401,7694552,16897371,21762281,69283,4392312,5847127,,..,..,,94478506
ACT-COPPY,2455211,3970640,945101,2204202,2140327,4608562,5380997,10909,841560,1140056,,..,..,,23697564
BUD PROP,13681044,20171182,5261759,11026272,10361465,21289101,28824329,92153,6032115,7985157,,..,..,,124724577
ACT-BP,-937841,-1067092,-335921,-408669,-526586,216832,-1681051,-11961,-798243,-997974,,..,..,,-6548507
BG,1524905,4125156,796148,1837677,1748993,2432945,4138679,14354,774284,472414,,..,..,,17865555
BG(SL),1524905,4125156,796148,1837677,1748993,2432945,4138679,14354,774284,472414,,..,..,,17865555
ACT,1395303,4134093,787216,1820497,1685619,2609499,3715619,11634,678175,466535,,..,..,,17304189
03 - PLB COPPY,1386978,4136589,756306,1766157,1641547,2457456,3879076,13807,715935,439628,,..,..,,17193477
ACT-COPPY,8325,-2496,30910,54340,44072,152042,-163457,-2173,-37760,26907,,..,..,,110711
BUD PROP,1509461,4127235,796161,1842144,1744552,2432738,4111151,14391,724786,474524,,..,..,,17777143
ACT-BP,-114158,6858,-8945,-21647,-58933,176761,-395532,-2757,-46611,-7989,,..,..,,-472954
BG,7321001,5918398,2483984,6007869,3726877,10791364,12720600,39378,2295751,3475611,,..,..,,54780833
BG(SL),7321001,5918398,2483984,6007869,3726877,10791364,12720600,39378,2295751,3475611,,..,..,,54780833
ACT,4763207,4047013,1676632,4106609,2557552,7682283,8413400,25782,1455064,2400744,,..,..,,37128286
04 - HRA COPPY,5262703,4276591,1811052,4400817,2663596,8036566,9104768,30085,1632854,2589856,,..,..,,39808887
ACT-COPPY,-499496,-229578,-134420,-294207,-106044,-354283,-691368,-4302,-177790,-189112,,..,..,,-2680601
BUD PROP,5217881,4248682,1775286,4269827,2655785,7777935,9049221,27402,1637898,2492239,,..,..,,39152156
ACT-BP,-454674,-201669,-98654,-163218,-98233,-95652,-635821,-1620,-182834,-91495,,..,..,,-2023870
BG,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BG(SL),..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
05 - CCA COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT-COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BUD PROP,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT-BP,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BG,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BG(SL),..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
06 - FOS COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT-COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BUD PROP,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
ACT-BP,..,..,..,..,..,,.. ..,..,..,..,,..,..,,..
BG,3262671,5272462,1427969,3349883,2706024,4438681,6772858,24761,1686523,2118976,,..,..,,31060808
BG(SL),3262671,5272462,1427969,3349883,2706024,4438681,6772858,24761,1686523,2118976,,..,..,,31060808
ACT,2201761,3894589,999800,2388052,1931854,3144843,4638859,16502,1044800,1468467,,..,..,,21729526
07 - TPA COPPY,2338315,3860480,1030727,2416203,1922132,3185129,4858460,18182,1155165,1573361,,..,..,,22358154
ACT-COPPY,-136554,34109,-30927,-28151,9722,-40286,-219601,-1680,-110365,-104893,,..,..,,-628628
BUD PROP,2319704,3817550,1040327,2413958,1965442,3267065,4864063,17507,1201718,1531078,,..,..,,22438412
ACT-BP,-117943,77039,-40527,-25906,-33588,-122222,-225204,-1005,-156918,-62611,,..,..,,-708886
BG,..,..,..,..,..,,.. ..,..,..,..,,..,51573495,,51573495
BG(SL),..,..,..,..,..,,.. ..,..,..,..,,..,51573495,,51573495
ACT,..,..,..,..,..,,.. ..,..,..,..,,..,36077570,,36077570
08 - NPS COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,36578327,,36578327
ACT-COPPY,..,..,..,..,..,,.. ..,..,..,..,,..,-500757,,-500757
BUD PROP,..,..,..,..,..,,.. ..,..,..,..,,..,37207664,,37207664
ACT-BP,..,..,..,..,..,,.. ..,..,..,..,,..,-1130094,,-1130094
"",,,,,,,,,,,,,SMH,,,,,,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,,,,,,,,,,,,
"",01,,02,,03,,04,,05,,06,,07,08,,09,,10,,10N,,11,,TOTAL
BG,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
BG(SL),..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
ACT,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
09 - WCL COPPY,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
ACT-COPPY,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
BUD PROP,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
ACT-BP,..,,..,,..,,..,,..,,..,,..,..,,..,,..,,,..,,..,..
BG,86917,,1382,,20598,,14310,,140402,,22474941,,8091620,7213,,20,,19067,,,..,,..,30856470
BG(SL),86917,,1382,,20598,,14310,,140402,,22474941,,8091620,7213,,20,,19067,,,..,,..,30856470
ACT,52351,,679,,10280,,17653,,114428,,16501533,,5938518,5804,,375,,3615,,,..,,..,22645237
10 - KMA COPPY,44041,,890,,13593,,17660,,93230,,16149989,,5949563,8308,,171,,4366,,,..,,..,22281811
ACT-COPPY,8310,,-212,,-3313,,-7,,21199,,351544,,-11045,-2504,,203,,-751,,,..,,..,363425
BUD PROP,62985,,930,,13897,,10449,,100587,,16135057,,5805439,5074,,15,,14141,,,..,,..,22148574
ACT-BP,-10634,,-251,,-3617,,7204,,13841,,366476,,133079,730,,360,,-10526,,,..,,..,496663
BG,68029,,37806,,27971,,1526414,,262936,,2057047,,2285954,124,,27048,,1157,,,..,,..,6294486
BG(SL),62474,,33586,,25794,,1369531,,245391,,1867914,,2084350,98,,28250,,1151,,,..,,..,5718539
ACT,50047,,30020,,23370,,1549343,,218688,,2703646,,2999710,189,,22009,,1105,,,..,,..,7598128
11 - OT COPPY,46655,,21872,,21948,,1173683,,194071,,1616964,,1809974,168,,28810,,96,,,..,,..,4914241
ACT-COPPY,3393,,8148,,1422,,375660,,24617,,1086682,,1189735,21,,-6801,,1010,,,..,,..,2683886
BUD PROP,44877,,24096,,18054,,966761,,180313,,1340142,,1500532,65,,20539,,884,,,..,,..,4096263
ACT-BP,5170,,5924,,5316,,582582,,38375,,1363504,,1499178,124,,1470,,221,,,..,,..,3501865
BG,43988,,1291679,,135503,,663833,,462700,,1481887,,2843768,7974,,79430,,6595,,,..,,..,7017357
BG(SL),43988,,1291679,,135503,,663833,,462700,,1481887,,2843768,7974,,79430,,6595,,,..,,..,7017357
ACT,40829,,1139988,,127644,,783976,,437343,,1640283,,2591177,5933,,61288,,4790,,,..,,..,6833249
12 - NDA COPPY,20451,,1103033,,113092,,682110,,385977,,1141767,,2150664,6318,,62557,,3967,,,..,,..,5669937
ACT-COPPY,20378,,36954,,14551,,101866,,51366,,498516,,440512,-385,,-1269,,823,,,..,,..,1163312
BUD PROP,32415,,932028,,97098,,475226,,331617,,1062926,,2025144,5526,,57484,,4580,,,..,,..,5024044
ACT-BP,8414,,207960,,30546,,308750,,105726,,577357,,566033,407,,3804,,210,,,..,,..,1809205
BG,479359,,8665711,,333369,,1088504,,925932,,3734892,,4138026,6281,,2115572,,3550576,,,..,,..,25038222
BG(SL),428565,,7756382,,295979,,941975,,814646,,3399613,,3687771,5662,,1903524,,3186756,,,..,,..,22420873
ACT,320908,,5734646,,284623,,866699,,748475,,3115660,,3152551,3931,,1333372,,2244034,,,..,,..,17804899
13 - OA COPPY,345274,,6345837,,282657,,866792,,727781,,3202149,,3305897,4394,,1499917,,2549645,,,..,,..,19130343
ACT-COPPY,-24366,,-611191,,1966,,-92,,20694,,-86489,,-153346,-462,,-166545,,-305611,,,..,,..,-1325444
BUD PROP,320017,,5754682,,227460,,704059,,615578,,2626478,,2763026,3843,,1416956,,2390319,,,..,,..,16822418
ACT-BP,891,,-20036,,57163,,162640,,132897,,489182,,389525,88,,-83584,,-146284,,,..,,..,982481
BG,112560,,18375,,4388,,9235,,4954,,10885,,21822,43,,52034,,27783,,,..,,..,262079
BG(SL),112560,,18375,,4388,,9235,,4954,,10885,,21173,43,,52034,,27783,,,..,,..,261430
ACT,41213,,7962,,1555,,4831,,2277,,4170,,6796,81,,27073,,6865,,,..,,..,102822
14 - FEES &,,,,,,,,,,,,,,,,,,,,,,,,
COPPY,52393,,8645,,2775,,6235,,1912,,4072,,8012,10,,34658,,7469,,,..,,..,126182
HON.,,,,,,,,,,,,,,,,,,,,,,,,
ACT-COPPY,-11180,,-683,,-1220,,-1404,,365,,98,,-1216,71,,-7585,,-605,,,..,,..,-23360
BUD PROP,80360,,13451,,3018,,6495,,3406,,7929,,13874,22,,37044,,17450,,,..,,..,183049
ACT-BP,-39147,,-5489,,-1463,,-1664,,-1129,,-3759,,-7078,59,,-9971,,-10585,,,..,,..,-80226
BG,330048,,132693,,39671,,77427,,108611,,145834,,289163,852,,57210,,168745,,,..,,..,1350254
BG(SL),330048,,132693,,39671,,77427,,108611,,145834,,289163,852,,57210,,168745,,,..,,..,1350254
ACT,269060,,103047,,33604,,66115,,79997,,143898,,287491,552,,45572,,234620,,,..,,..,1263957
15 - TA COPPY,237925,,84582,,30858,,59267,,72720,,112498,,214896,496,,39104,,245025,,,..,,..,1097370
