Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
15324,384473,17-JAN-19,170119,3130
15325,455621,17-JAN-19,170119,1580
15326,448180,17-JAN-19,170119,3785
15327,838337,17-JAN-19,170119,7810
15328,13636,17-JAN-19,170119,30805
15329,13604,17-JAN-19,170119,505
15330,IKOC7913106,17-JAN-19,170119,1405737
15331,455604,01-JAN-19,010119,1925
15332,940,01-JAN-19,010119,940
15333,830,01-JAN-19,010119,830
15334,436588,01-JAN-19,010119,3565
15335,764888,01-JAN-19,010119,1415
15336,27075,01-JAN-19,010119,33600
15337,27095,01-JAN-19,010119,1110
15338,7121,01-JAN-19,010119,1180
15339,338018,09-JAN-19,090119,2581
15340,436597,09-JAN-19,090119,7380
15341,436596,09-JAN-19,090119,3600
15342,A011801,09-JAN-19,090119,199836
15343,B011801,09-JAN-19,090119,105336
15344,98977,09-JAN-19,090119,8335
15345,764896,09-JAN-19,090119,800
15346,764897,09-JAN-19,090119,15785
15347,27031,09-JAN-19,090119,37070
15348,127031,09-JAN-19,090119,26810
15349,27035,09-JAN-19,090119,1780
15350,A27035,09-JAN-19,090119,905
15351,27028,09-JAN-19,090119,1230
15352,A27028,09-JAN-19,090119,770
15353,436547,09-JAN-19,090119,18125
15354,436546,09-JAN-19,090119,52935
15355,436695,09-JAN-19,090119,4295
15356,436694,09-JAN-19,090119,4045
15357,331349,09-JAN-19,090119,147365
15358,237073,10-JAN-19,100119,300699
15359,334814,10-JAN-19,100119,4355
15360,384054,10-JAN-19,100119,22145
15361,491708,10-JAN-19,100119,13545
15362,645337,10-JAN-19,100119,590369
15363,IKOC7913816,17-JAN-19,170119,1643031
15364,1306,14-JAN-19,140119,27876
15365,217159,14-JAN-19,140119,2000
15366,217161,14-JAN-19,140119,5456581
15367,217167,14-JAN-19,140119,334227
15368,217170,14-JAN-19,140119,1462960
15369,217162,14-JAN-19,140119,18308
15370,217163,14-JAN-19,140119,532556
15371,217165,14-JAN-19,140119,135008
15372,217166,14-JAN-19,140119,35621
15373,217171,14-JAN-19,140119,593491
15374,230624,05-JAN-19,050119,6455
15375,476374,05-JAN-19,050119,3795
15376,476340,05-JAN-19,050119,301679
15377,337531,05-JAN-19,050119,415
15378,465403,05-JAN-19,050119,617203
15379,317704,05-JAN-19,050119,1985
15380,A317704,05-JAN-19,050119,51360
15381,4287730,05-JAN-19,050119,25445
15382,14376,05-JAN-19,050119,491880
15383,476388,05-JAN-19,050119,24575
15384,466426,17-JAN-19,170119,224853
15385,466455,17-JAN-19,170119,2930
15386,384061,17-JAN-19,170119,14755
15387,337724,17-JAN-19,170119,525
15388,317715,17-JAN-19,170119,39335
15389,316844,17-JAN-19,170119,1085
15390,379454,17-JAN-19,170119,21555
15391,379477,17-JAN-19,170119,230
15392,379432,17-JAN-19,170119,1902583
15393,379433,17-JAN-19,170119,87044
15394,14384,17-JAN-19,170119,5230000
15395,14391,17-JAN-19,170119,5330000
15396,14399,17-JAN-19,170119,434460
15397,480879,10-JAN-19,100119,104121
15398,316839,10-JAN-19,100119,1770
15399,317708,10-JAN-19,100119,61520
15400,14360,10-JAN-19,100119,438320
15401,476393,10-JAN-19,100119,25465
15402,A521006,10-JAN-19,100119,80692
15403,464960,10-JAN-19,100119,2200
15404,384405,10-JAN-19,100119,70090
15405,24350,10-JAN-19,100119,24350
15406,40104,10-JAN-19,100119,61915
15407,493588,04-JAN-19,040119,36580
15408,476373,04-JAN-19,040119,1525
15409,476339,04-JAN-19,040119,277054
15410,337752,04-JAN-19,040119,535
15411,A413985,04-JAN-19,040119,198230
15412,316834,04-JAN-19,040119,1695
15413,317703,04-JAN-19,040119,37750
15414,14380,04-JAN-19,040119,311720
15415,5201001,05-JAN-19,050119,80649
15416,802428,05-JAN-19,050119,161335
15417,464956,05-JAN-19,050119,1775
15418,56464,05-JAN-19,050119,302
15419,989369,05-JAN-19,050119,7500
15420,40116,05-JAN-19,050119,44000
15421,A40116,05-JAN-19,050119,6810
15422,681347,05-JAN-19,050119,43325
15423,681476,05-JAN-19,050119,2346
15424,468806,05-JAN-19,050119,5561
15425,380244,05-JAN-19,050119,13482
15426,436543,05-JAN-19,050119,43260
15427,5479233,17-JAN-19,170119,88205
15428,100245,17-JAN-19,170119,35365
15429,464965,17-JAN-19,170119,2660
15430,384412,17-JAN-19,170119,88196
15431,989381,17-JAN-19,170119,3000
15432,989427,17-JAN-19,170119,3470
15433,40136,17-JAN-19,170119,42280
15434,468822,17-JAN-19,170119,4765
15435,468821,17-JAN-19,170119,2750
15436,447780,17-JAN-19,170119,36836
15437,447604,17-JAN-19,170119,20272
15438,19976,10-JAN-19,100119,35130
15439,468812,10-JAN-19,100119,7575
15440,468811,10-JAN-19,100119,2568
15441,380248,10-JAN-19,100119,16641
15442,9621215,10-JAN-19,100119,179970
15443,78895,10-JAN-19,100119,78895
15444,5770,10-JAN-19,100119,5770
15445,330902,10-JAN-19,100119,71215
15446,437896,10-JAN-19,100119,152830
15447,476387,04-JAN-19,040119,18900
15448,476385,04-JAN-19,040119,37970
15449,5201000,04-JAN-19,040119,85465
15450,13875,04-JAN-19,040119,13875
15451,464955,04-JAN-19,040119,2095
15452,989367,04-JAN-19,040119,17000
15453,989366,04-JAN-19,040119,60400
15454,40114,04-JAN-19,040119,36676
15455,255218,04-JAN-19,040119,140000
15456,681346,04-JAN-19,040119,30870
15457,468805,04-JAN-19,040119,6620
15458,380243,04-JAN-19,040119,10508
15459,379301,05-JAN-19,050119,165075
15460,437890,05-JAN-19,050119,2053
15461,437889,05-JAN-19,050119,167816
15462,468839,05-JAN-19,050119,75361
15463,927534,05-JAN-19,050119,285
15464,4670056,05-JAN-19,050119,2820
15465,26095,05-JAN-19,050119,1860
15466,75720,05-JAN-19,050119,22215
15467,448130,17-JAN-19,170119,53805
15468,448303,17-JAN-19,170119,3625
15469,12171,17-JAN-19,170119,445
15470,12855,17-JAN-19,170119,42890
15471,379317,17-JAN-19,170119,78250
15472,437705,17-JAN-19,170119,50000
15473,437704,17-JAN-19,170119,168155
15474,A428553,17-JAN-19,170119,1505
15475,435158,17-JAN-19,170119,44375
15476,80587,17-JAN-19,170119,1505
15477,468849,17-JAN-19,170119,70344
15478,456356,17-JAN-19,170119,2070
15479,749741,17-JAN-19,170119,2000
15480,749740,17-JAN-19,170119,80
15481,477615,17-JAN-19,170119,490
15482,749706,17-JAN-19,170119,184907
15483,IKOC7951137,21-JAN-19,210119,1801338
15484,468843,10-JAN-19,100119,66073
15485,380228,10-JAN-19,100119,175
15486,384465,10-JAN-19,100119,270
15487,384464,10-JAN-19,100119,4862
15488,384466,10-JAN-19,100119,1660
15489,690628,10-JAN-19,100119,1280
15490,690630,10-JAN-19,100119,650
15491,455614,10-JAN-19,100119,2615
15492,2785,10-JAN-19,100119,2785
