Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
419,270,05-07-2017,50717,270,,0,
420,22350,18-07-2017,180717,22350,,0,
421,14971,18-07-2017,180717,14971,,0,
422,185,18-07-2017,180717,185,,0,
423,1555,18-07-2017,180717,1555,,0,
424,21853,25-07-2017,250717,59925,,0,
425,1540,04-07-2017,40717,1540,,0,
426,1380,05-07-2017,50717,1380,,0,
427,435,25-07-2017,250717,435,,0,
428,21858,28-07-2017,280717,88335,,0,
429,990,11-07-2017,110717,990,,0,
430,2250,11-07-2017,110717,2250,,0,
431,67752,26-07-2017,260717,2745,,0,
432,21866,05-08-2017,50817,66732,,0,
433,6415,10-08-2017,100817,6415,,0,
434,2510,13-07-2017,130717,2510,,0,
435,67757,01-08-2017,10817,1050,,0,
436,21864,03-08-2017,30817,96775,,0,
437,6660,13-07-2017,130717,6660,,0,
438,940,13-07-2017,130717,940,,0,
439,300,13-07-2017,130717,300,,0,
440,500,13-07-2017,130717,500,,0,
441,1980,13-07-2017,130717,1980,,0,
442,1615,15-07-2017,150717,1615,,0,
443,6460,27-07-2017,270717,6460,,0,
444,205,07-08-2017,70817,205,,0,
445,4905,07-08-2017,70817,4905,,0,
446,33823,15-07-2017,150717,4300,,0,
447,1745,01-08-2017,10817,94816,,0,
448,50870,20-07-2017,200717,565,,0,
449,33787,20-07-2017,200717,135,,0,
450,14901,02-08-2017,20817,4805,,0,
451,6750,15-07-2017,150717,6750,,0,
452,88005,15-07-2017,150717,1418290,,0,
453,6275,03-08-2017,30817,6275,,0,
454,39500,09-08-2017,90817,39500,,0,
455,14510,13-07-2017,130717,1190,,0,
456,2750,13-07-2017,130717,2750,,0,
457,865,13-07-2017,130717,865,,0,
458,1790,13-07-2017,130717,1790,,0,
459,770,13-07-2017,130717,770,,0,
460,1730,17-07-2017,170717,73830,,0,
461,6905,17-07-2017,170717,1080,,0,
462,21865,04-08-2017,40817,62295,,0,
463,23989,31-07-2017,310717,23989,,0,
464,6996,31-07-2017,310717,1485,,0,
465,6880,31-07-2017,310717,60849,,0,
466,67760,05-08-2017,50817,2035,,0,
467,5586,20-07-2017,200717,5586,,0,
468,33792,27-07-2017,270717,960,,0,
469,A940,13-07-2017,130717,940,,0,
470,14904,05-08-2017,50817,875,,0,
471,28400,02-08-2017,20817,6595,,0,
472,21867,07-08-2017,70817,49165,,0,
473,21863,02-08-2017,20817,56225,,0,
474,21862,02-08-2017,20817,80375,,0,
475,14907,10-08-2017,100817,9950,,0,
476,2155,10-08-2017,100817,2155,,0,
477,6925,10-08-2017,100817,4430,,0,
478,6890,10-08-2017,100817,84330,,0,
479,67761,07-08-2017,70817,1580,,0,
480,14906,09-08-2017,90817,2500,,0,
481,21860,31-07-2017,310717,57700,,0,
482,14903,04-08-2017,40817,2125,,0,
483,14909,14-08-2017,140817,4630,,0,
484,980,13-07-2017,130717,980,,0,
485,67756,31-07-2017,310717,1725,,0,
486,21857,27-07-2017,270717,82940,,0,
487,89163,19-07-2017,190717,975,,0,
488,21861,01-08-2017,10817,64900,,0,
489,14902,03-08-2017,30817,1315,,0,
490,5560,13-07-2017,130717,5560,,0,
491,14915,22-08-2017,220817,2600,,0,
492,2115,24-08-2017,240817,2115,,0,
493,910,24-08-2017,240817,910,,0,
494,67767,18-08-2017,180817,6595,,0,
495,44650,18-08-2017,180817,44650,,0,
496,44455,28-08-2017,280817,425,,0,
497,53206,28-08-2017,280817,1450,,0,
498,14911,18-08-2017,180817,7355,,0,
499,23393,18-08-2017,180817,23380,,0,
500,6935,21-08-2017,210817,1780,,0,
501,14970,30-08-2017,300817,14970,,0,
502,53208,30-08-2017,300817,1100,,0,
503,14913,19-08-2017,190817,1640,,0,
504,67774,24-08-2017,240817,12510,,0,
505,44453,24-08-2017,240817,2300,,0,
506,26460,22-08-2017,220817,26460,,0,
507,53204,28-08-2017,280817,1150,,0,
508,53205,28-08-2017,280817,1170,,0,
509,5480,29-08-2017,290817,5480,,0,
510,14917,28-08-2017,280817,2200,,0,
511,15725,11-09-2017,110917,255,,0,
512,6940,29-08-2017,290817,17085,,0,
513,14051,29-08-2017,290817,14051,,0,
514,67770,18-08-2017,180817,1415,,0,
515,67769,18-08-2017,180817,3020,,0,
516,14914,21-08-2017,210817,810,,0,
517,8035,24-08-2017,240817,8035,,0,
518,9095,28-08-2017,280817,9095,,0,
519,1670,28-08-2017,280817,108885,,0,
520,7220,30-08-2017,300817,7220,,0,
521,2150,18-08-2017,180817,2150,,0,
522,14919,29-08-2017,290817,540,,0,
523,53207,29-08-2017,290817,940,,0,
524,14920,30-08-2017,300817,3320,,0,
525,14910,16-08-2017,160817,2690,,0,
526,460,16-08-2017,160817,460,,0,
527,14921,31-08-2017,310817,1265,,0,
528,44451,21-08-2017,210817,930,,0,
529,67772,21-08-2017,210817,2711,,0,
530,21812,18-08-2017,180817,8036,,0,
531,67773,22-08-2017,220817,2186,,0,
532,32392,28-08-2017,280817,32392,,0,
533,14912,18-08-2017,180817,4815,,0,
534,13940,28-08-2017,280817,37064,,0,
535,585,18-08-2017,180817,585,,0,
536,41616,30-08-2017,300817,49790,,0,
537,6615,21-08-2017,210817,6615,,0,
538,1665,21-08-2017,210817,122666,,0,
539,225,13-09-2017,130917,225,,0,
540,53203,24-08-2017,240817,705,,0,
541,44464,07-09-2017,70917,1285,,0,
542,44465,08-09-2017,80917,975,,0,
543,44466,12-09-2017,120917,540,,0,
544,44467,12-09-2017,120917,855,,0,
545,74385,12-09-2017,120917,1175,,0,
546,44470,15-09-2017,150917,565,,0,
547,8385,08-09-2017,80917,8385,,0,
548,14922,01-09-2017,10917,1090,,0,
549,35055,06-09-2017,60917,527,,0,
550,44463,06-09-2017,60917,1960,,0,
551,44472,18-09-2017,180917,530,,0,
552,44473,19-09-2017,190917,530,,0,
553,13996,19-09-2017,190917,1240,,0,
554,28335,19-09-2017,190917,1520,,0,
555,44475,21-09-2017,210917,940,,0,
556,44471,16-09-2017,160917,725,,0,
557,24975,16-09-2017,160917,110776,,0,
558,44474,20-09-2017,200917,1225,,0,
559,13945,04-09-2017,40917,30025,,0,
560,1000,15-09-2017,150917,16420,,0,
561,44461,05-09-2017,50917,345,,0,
562,44462,05-09-2017,50917,1435,,0,
563,9326,21-09-2017,210917,12012,,0,
564,31740,20-09-2017,200917,3596,,0,
565,4751,20-09-2017,200917,4751,,0,
566,5300,20-09-2017,200917,5300,,0,
567,1175,20-09-2017,200917,1175,,0,
568,15295,20-09-2017,200917,104785,,0,
569,8705,01-09-2017,10917,8705,,0,
570,4550,01-09-2017,10917,4550,,0,
571,44469,14-09-2017,140917,590,,0,
572,5705,16-09-2017,160917,5705,,0,
573,14925,06-09-2017,60917,5345,,0,
574,5240,15-09-2017,150917,5240,,0,
575,9327,22-09-2017,220917,10376,,0,
576,9328,22-09-2017,220917,123556,,0,
577,23528,15-09-2017,150917,23528,,0,
578,69377,25-09-2017,250917,3181,,0,
579,69378,25-09-2017,250917,4920,,0,
580,69391,06-10-2017,61017,2735,,0,
581,69395,10-10-2017,101017,3721,,0,
582,40864,10-10-2017,101017,4005,,0,
583,13181,12-10-2017,121017,817429,,0,
584,4560,12-10-2017,121017,4560,,0,
585,69399,12-10-2017,121017,2330,,0,
586,69400,12-10-2017,121017,5295,,0,
587,69397,11-10-2017,111017,3172,,0,
588,69398,11-10-2017,111017,6240,,0,
589,40865,11-10-2017,111017,6745,,0,
590,40866,11-10-2017,111017,3040,,0,
591,40861,07-10-2017,71017,5745,,0,
592,7326,25-09-2017,250917,545,,0,
593,40858,06-10-2017,61017,5550,,0,
594,40857,06-10-2017,61017,6895,,0,
595,40859,06-10-2017,61017,9240,,0,
596,40860,06-10-2017,61017,5886,,0,
597,64735,06-10-2017,61017,55115,,0,
598,28348,04-10-2017,41017,595,,0,
599,69381,27-09-2017,270917,6892,,0,
600,69382,27-09-2017,270917,12065,,0,
601,40853,27-09-2017,270917,6536,,0,
602,40852,27-09-2017,270917,6195,,0,
603,69383,28-09-2017,280917,3881,,0,
604,69384,28-09-2017,280917,5980,,0,
605,40854,28-09-2017,280917,8276,,0,
606,5585,05-10-2017,51017,5585,,0,
607,6470,05-10-2017,51017,6470,,0,
608,12490,11-10-2017,111017,4605,,0,
609,40867,12-10-2017,121017,5150,,0,
610,17305,26-09-2017,260917,60525,,0,
611,69387,04-10-2017,41017,2879,,0,
612,69386,04-10-2017,41017,4225,,0,
613,40856,04-10-2017,41017,7815,,0,
614,6307,04-10-2017,41017,82355,,0,
615,5605,13-10-2017,131017,5605,,0,
616,7671,25-09-2017,250917,2115,,0,
617,95281,05-10-2017,51017,77790,,0,
618,155,09-10-2017,91017,155,,0,
619,69379,26-09-2017,260917,2531,,0,
620,5330,10-10-2017,101017,5330,,0,
621,69380,26-09-2017,260917,2395,,0,
622,44355,29-09-2017,290917,3380,,0,
623,3770,11-10-2017,111017,3770,,0,
624,3235,11-10-2017,111017,3235,,0,
625,69389,05-10-2017,51017,9855,,0,
626,69390,05-10-2017,51017,16465,,0,
627,69385,29-09-2017,290917,3153,,0,
628,69386,29-09-2017,290917,4545,,0,
629,40855,29-09-2017,290917,7130,,0,
630,6390,27-09-2017,270917,6390,,0,
631,5275,27-09-2017,270917,5275,,0,
632,3810,27-09-2017,270917,3810,,0,
