Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
4885,14239,09-Jul-21,90721,6006
4886,62095,09-Jul-21,90721,9120
4887,77398,09-Jul-21,90721,46988
4888,77397,09-Jul-21,90721,565380
4889,182390,09-Jul-21,90721,182390
4890,82228,31-Jul-21,310721,82228
4891,686225,13-Jul-21,130721,4720
4892,384542,13-Jul-21,130721,1560
4893,7303425,13-Jul-21,130721,24690
4894,A60251,13-Jul-21,130721,260
4895,60226,13-Jul-21,130721,121475
4896,50123,13-Jul-21,130721,1665
4897,88050,13-Jul-21,130721,890
4898,3961630,13-Jul-21,130721,16700
4899,1044,13-Jul-21,130721,97765
4900,50183,13-Jul-21,130721,36415
4901,16069,13-Jul-21,130721,13230
4902,62096,13-Jul-21,130721,8330
4903,77400,13-Jul-21,130721,63174
4904,77399,13-Jul-21,130721,506915
4905,16710,13-Jul-21,130721,16710
4906,13520,13-Jul-21,130721,13520
4907,108991,29-Jul-21,290721,28000
4908,32385,29-Jul-21,290721,1115
4909,476179,29-Jul-21,290721,2735
4910,88481,29-Jul-21,290721,51230
4911,84877,29-Jul-21,290721,34180
4912,35913,29-Jul-21,290721,60
4913,35912,29-Jul-21,290721,45
4914,35911,29-Jul-21,290721,30
4915,97028,29-Jul-21,290721,983713
4916,71774,29-Jul-21,290721,21640
4917,6732,29-Jul-21,290721,25415
4918,6610,29-Jul-21,290721,17170
4919,45429,29-Jul-21,290721,6385
4920,45428,29-Jul-21,290721,4445
4921,45427,29-Jul-21,290721,4870
4922,45426,29-Jul-21,290721,5505
4923,59836,05-Apr-21,50421,62345
4924,5828,05-Apr-21,50421,465719
4925,12637,05-Apr-21,50421,36241
4926,88284,05-Apr-21,50421,6275
4927,33081,05-Apr-21,50421,1025
4928,88337,05-Apr-21,50421,210
4929,61835,05-Apr-21,50421,82765
4930,133226,29-Apr-21,290421,475
4931,3480510,12-Apr-21,120421,9855
4932,4860312,12-Apr-21,120421,1280
4933,38609,12-Apr-21,120421,55195
4934,88002,12-Apr-21,120421,455
4935,A952801,12-Apr-21,120421,370
4936,5502,12-Apr-21,120421,53580
4937,5551,12-Apr-21,120421,150
4938,39257,12-Apr-21,120421,455
4939,757151,12-Apr-21,120421,89785
4940,702403,12-Apr-21,120421,22730
4941,95824,12-Apr-21,120421,10455
4942,26905,12-Apr-21,120421,1560
4943,90540,12-Apr-21,120421,8890
4944,90592,12-Apr-21,120421,43730
4945,90591,12-Apr-21,120421,321615
4946,37885,12-Apr-21,120421,37885
4947,64833,12-Apr-21,120421,19725
4948,27393,17-Apr-21,170421,2495
4949,27392,17-Apr-21,170421,2035
4950,79442,17-Apr-21,170421,8595
4951,79441,17-Apr-21,170421,4700
4952,4999927,19-Apr-21,190421,7810
4953,4860317,19-Apr-21,190421,1095
4954,952848,19-Apr-21,190421,100
4955,88007,19-Apr-21,190421,165
4956,350,19-Apr-21,190421,350
4957,6420101,19-Apr-21,190421,19700
4958,39431,15-Apr-21,150421,17775
4959,39407,15-Apr-21,150421,11480
4960,39258,15-Apr-21,150421,760
4961,49761,15-Apr-21,150421,19315
4962,950644,15-Apr-21,150421,70
4963,10907,15-Apr-21,150421,7520
4964,483805,15-Apr-21,150421,3025
4965,7231,15-Apr-21,150421,56775
4966,5833,15-Apr-21,150421,584537
4967,6217504,15-Apr-21,150421,385
4968,6206824,15-Apr-21,150421,75
4969,3965,15-Apr-21,150421,3965
4970,587040,04-May-21,40521,3305
4971,5847,04-May-21,40521,10218
4972,12642,04-May-21,40521,237929
4973,49080,04-May-21,40521,2200
4974,163723644,04-May-21,40521,1000
4975,38635,05-May-21,50521,2630
4976,38634,05-May-21,50521,12145
4977,62241,05-May-21,50521,36220
4978,38650,20-May-21,200521,22560
4979,49085,20-May-21,200521,5655
4980,A49085,20-May-21,200521,2670
4981,5542,20-May-21,200521,7965
4982,45944,20-May-21,200521,27234
4983,45941,20-May-21,200521,62290
4984,45943,20-May-21,200521,71325
4985,45942,20-May-21,200521,51075
4986,12623,20-May-21,200521,12623
4987,2045,20-May-21,200521,2045
4988,23683,20-May-21,200521,15070
4989,22688,20-May-21,200521,30398
4990,36682,20-May-21,200521,8840
4991,15888,20-May-21,200521,11030
4992,2132042024,28-May-21,280521,50433
4993,5000014,24-May-21,240521,5290
4994,50127,24-May-21,240521,18675
4995,5544,24-May-21,240521,21970
4996,45948,24-May-21,240521,21734
4997,23599,24-May-21,240521,23599
4998,23685,24-May-21,240521,14355
4999,5000021,01-Jun-21,10621,9045
5000,50136,01-Jun-21,10621,57920
5001,42728,01-Jun-21,10621,31770
5002,483829,01-Jun-21,10621,65
